title,description,start_date,place,number_of_deaths,causes_of_violence,sources_of_information,lga
"NAF vs Bandits, Kaduna","7 terrorist kingpins and several foot soldiers were killed during airstrikes undertaken by the Air Component of Operation Whirl Punch at identified terrorists' hideouts. Some of the neutralized kingpins were identified as Jibrin, Gurgu, Isa Jauro and Tambuwal. Due to the nature of the story, it is assumed that 10 other bandits were killed in the operation.",2022-11-30T23:00:00.000Z,"Alhaji Ganai location, Buhari new location and Dogon Maikaji",17,crime,"Vanguard (17 ) , The Punch (17 ) , Nigerian Tribune (17 )",Giwa
"Troops vs Terrorist, Katsina",Troops of Operation Hadarin Daji killed many terrorists and apprehended 5 bandits’ collaborators with the sum of N19.5 million in their Point of Sales (POS)machine. It is assumed that 20 people were killed.,2022-11-29T23:00:00.000Z,Daudawa village,20,crime,The Guardian (20 ),Faskari
"Bandits Kill 6, Sokoto",6 people were killed by bandits who invaded a community. It was reported that several others were injured in the attack. They broke into shops and stole lots of assorted goods.,2022-11-29T23:00:00.000Z,Bare,6,crime,Daily Trust (6 ),Goronyo
"Bandits Kill 1, Sokoto",1 person was killed by bandits who invaded a community. It was reported that several others were injured in the attack. They broke into shops and stole lots of assorted goods.,2022-11-29T23:00:00.000Z,Kagara,1,crime,Daily Trust (1 ),Goronyo
"Bandits Attack, Katsina","The mother of a Divisional Police Officer, and his brother, Usman Lawal Karzaje were killed by some gunmen who invaded the community. It was reported that the deceased were attacked at their residence. The incident led to a protest by the mob in the community.",2022-11-28T23:00:00.000Z,Danmusa Area,2,crime,"Daily Trust (2 ) , The Punch (2 ) , The Guardian (2 )",Dan Musa
"Political Violence, Kaduna","Mrs. Victoria Chintex, the Labour Party woman leader of Kaura LGA was killed in her residence by some unknown gunmen. Her husband sustained gunshot injuries and was rushed to a medical facility for treatment.",2022-11-27T23:00:00.000Z,Kaura,1,political issue,"Daily Trust (1 ) , Other newspaper 3 (1 ) , Vanguard (1 )",Kaura
"NAF vs ISWAP, Borno",Several Islamic State West Africa Province (ISWAP) were killed by the Super Tucano fighter Jet Air force. It was reported that the terrorists were killed while they were moving in a convoy of gun trucks to attack the nearest military base.,2022-11-26T23:00:00.000Z,"Kau-Shoro, Damboa axis of Sambisa Forest",30,"political issue, religious issue",The Guardian (30 ),Damboa
"NAF vs ISWAP, Borno","Muhammed Malik, a top commander of the Islamic State of the West African Province (ISWAP), was killed by troops of the air task force during a clearance operation. Scores (assuming at least 40) of fighters were also killed in the air raids.",2022-11-23T23:00:00.000Z,Sabon Tumbun area of Lake Chad axis,41,"political issue, religious issue","The Nation (41 ) , The Guardian (41 ) , Vanguard (41 )",Abadam
"Army vs Boko Haram, Borno",5 Boko Haram terrorists were killed by the Troops of Operation Hadin Kai (OPHK). It was reported that the terrorists were moving in a convoy of gun trucks and motorcycles when they were ambushed by the troops.,2022-11-23T23:00:00.000Z,Mafa-Nganzai Area,5,"religious issue, political issue",The Guardian (5 ),Mafa
"Political Crisis, Borno","1 person was killed while scores were injured, and vehicles and other properties worth millions of naira were damaged during the campaign of former Vice President Atiku Abubakar and PDP presidential candidate.",2022-11-22T23:00:00.000Z,Maiduguri,1,political issue,Daily Trust (1 ),Maiduguri
"ISWAP vs Boko Haram, Borno",50 Boko Haram fighters were killed in an ambush by the Islamic State West Africa Province (ISWAP) during a clash. Both groups have clashed several times this year.,2022-11-20T23:00:00.000Z,Chillaria axis of Sambisa Forest,50,"political issue, religious issue",The Guardian (50 ),Gwoza
"Police vs Gunmen, Enugu",IPOB/ESN: 2 gunmen suspected to be members of the Indigenous People of Biafra were gunned down during a gun duel with security operatives.,2022-11-19T23:00:00.000Z,Enugu,2,"political issue, crime",The Nation (2 ),Enugu North
"Herdsmen Attack, Rivers",2 people were killed by Fulani herdsmen with AK-47 riffle. It was reported that the rampaging herders also injured many people during the attack.,2022-11-19T23:00:00.000Z,Agbeta 11 Tuabon Community,2,"land issue, cattle grazing",Vanguard (2 ),Eleme
"Herdsmen Attack, Enugu",8 people were killed by rampaging Fulani herdsmen who invaded a community. It was reported that the killing spanned a couple of day as the herders went about killing people unchallenged. 2 of the victims were daughters of a pastor of the Apostolic Faith Church.,2022-11-18T23:00:00.000Z,Ehamufu,10,"cattle grazing, land issue","Other newpapers 1 (8 ) , The Punch (13 ) , Vanguard (10 )",Isi-Uzo
"Air Force vs Bandits, Kaduna",Many bandits were neutralized by the Air Component of Operation Whirl Punch. The bandits were members of the group loyal to one Alhaji Ganai.,2022-11-18T23:00:00.000Z,Kidandan,20,crime,"Daily Trust (20 ) , The Nation (20 ) , Other newpapers 1 (20 ) , Nigerian Tribune (20 )",Giwa
"Gunmen vs Police, Enugu","IPOB/ESN: A police inspector attached to Orba Police Area Command, Mr. Oluchukwu Omenogor, was shot dead by gunmen suspected to be members of the Indigenous People of Biafra. The officer popularly called Babylon was killed during night surveillance.",2022-11-18T23:00:00.000Z,Orba,1,"political issue, crime",Other newpapers 1 (1 ),Udenu
"Gunmen Kill 2, Enugu","IPOB/ESN: 2 people were shot dead in a community by some gunmen suspected to be members of IPOB. The incident happened when the gunmen invaded the community and killed Ikechukwu Nnamani, a former President General of a crisis-torn community, Oruku Community, and one Ndubuisi Nnamani.",2022-11-17T23:00:00.000Z,Aguikpa community,2,political issue,Other newspaper 3 (2 ),Nkanu East
"Bandits vs Police, Kaduna","A policeman identified as Aminu Muhammad was shot dead when some bandits attacked the convoy of Mr. Timothy A. Zalanga, the Managing Director of the Railway Management Company Limited, a subsidiary of the Nigerian Railway Corporation (NRC).",2022-11-17T23:00:00.000Z,Gonin Gora,1,crime,Daily Trust (1 ),Chikun
"Gunmen Attack, Ebonyi","IPOB/ESN: 2 operatives of Ebubeagu Security Network, Ebonyi State, were shot dead by gunmen suspected to be IPOB members.",2022-11-17T23:00:00.000Z,Popular Ebebe junction along Ogbaga road,2,political issue,"Other newspaper 3 (2 ) , The Punch (2 ) , The Nation (2 )",Abakaliki
"Boko Haram Insurgency/Witchcraft, Borno","15 women were killed by the Boko Haram members led by their leader, Ali Ngulde. It was reported that the victims were killed after being accused of witchcraft.",2022-11-15T23:00:00.000Z,Mandara Hills,21,"political issue, religious issue, sorcery","The Punch (15 ) , human rights organisation, humanitarian organisations (26 )",Gwoza
"Police vs Bandits, Niger",The police in collaboration with vigilantes and hunters killed seven bandits in a community. It was reported that 2 vigilantes sustained bullet wounds during the operation.,2022-11-15T23:00:00.000Z,Kumbashi Village,7,crime,"Daily Trust (7 ) , Other newspaper 3 (7 ) , Other newpapers 1 (7 )",Mariga
"Air Force vs Bandits, Kaduna",Some bandits were neutralized by the Air Component of Operation Whirl Punch. The bandits have been terrorizing residents before the strikes which were targeted at their enclaves.,2022-11-15T23:00:00.000Z,Birnin-Gwari,10,crime,"Nigerian Tribune (10 ) , Other newspaper 3 (10 ) , Other newpapers 1 (10 )",Birnin-Gwari
"Air Force vs Bandits, Kaduna",Many bandits were neutralized by the Air Component of Operation Whirl Punch. The bandits were terrorizing residents before the strikes which were targeted at their enclaves.,2022-11-15T23:00:00.000Z,Igabi,10,crime,"Other newspaper 3 (10 ) , Nigerian Tribune (10 ) , Other newpapers 1 (10 )",Igabi
"Bandits vs Imam, Sokoto",Bandits killed the chief Imam of Gangara community. The Iman identified as Liman Na-Kimba was killed while he was coming back from Sokoto where he went to collect his pension.,2022-11-15T23:00:00.000Z,Gangara,1,crime,"Daily Trust (1 ) , The Nation (1 )",Sabon Birni
"Man Stab One, Bauchi",A 30-year-old man identified as Abdulrazak Ibrahim was stabbed to death at a drinking joint by Monday Ajasco (29). It was reported that the suspect stab the deceased while on their way home as a refused to buy a drink for him at the joint.,2022-11-15T23:00:00.000Z,Bagel Village,1,crime,"The Punch (1 ) , Daily Trust (1 ) , Other newspaper 3 (1 )",Dass
"NAF vs Boko Haram, Borno",16 Boko Haram fighters were killed in an ambush by the Nigerian Air Force (NAF) . It was reported that the incident happened when the NAF fighters conducted an aerial and ground on the border area.,2022-11-15T23:00:00.000Z,Banki Border Area,16,"religious issue, political issue",The Guardian (16 ),Bama
"Gunmen vs Family, Plateau",Gunmen suspected to be Fulani herdsmen killed 9 family members and 2 other victims. It was reported that the during the attack which happened at night 8 people were injured.,2022-11-14T23:00:00.000Z,Maikatako community,10,"cattle grazing, land issue","The Nation (11 ) , Other newpapers 1 (9 ) , Daily Trust (11 ) , Other newspaper 3 (9 ) , Nigerian Tribune (12 )",Bakkos
"Gunmen vs Ebubeagu Operative, Ebonyi",IPOB/ESN: An operative of the Ebubeagu Security Network identified as Joseph Nwanja was killed by gunmen identified as members of the Indigenous People of Biafra. It was reported that the gunmen cut off the head of the victim.,2022-11-14T23:00:00.000Z,Okposi community,1,"crime, political issue",Other newspaper 3 (1 ),Ohaozara
"Soldiers vs Boko Haram, Borno","Abu Hassan, a Boko Haram Commander (Munzir) and 13 others were killed in an encounter with troops of ""Operation Hadin Kai"". The victims were killed after a gunner in the troop's patrol convoy fired at the fleeing terrorists' position, with an Anti-Air Craft gun",2022-11-13T23:00:00.000Z,Mafa,14,"political issue, religious issue","Vanguard (14 ) , The Guardian (14 )",Mafa
"Gunmen vs Monarch, Imo",IPOB/ESN: Gunmen shot dead the traditional ruler of Obudi Agwa autonomous community identified as Eze Ignitus Asor. It was reported that the hoodlums also killed two of his aides and wounded other persons as they tried to flee the community. A version of the report stated that the victims were killed by members of the Indigenous People of Biafra.,2022-11-13T23:00:00.000Z,Obudi Agwa Autonomous community,4,"crime, political issue","Other newspaper 3 (3 ) , Other newpapers 1 (5 ) , Vanguard (3 ) , Daily Trust (5 ) , The Punch (5 )",Oguta
"Bandits vs Farmers, Sokoto",2 farmers were killed by bandits in a village. It was reported that the bandits also kidnapped 6 other farmers during the attack.,2022-11-13T23:00:00.000Z,Dunkwa village,2,crime,"Daily Trust (2 ) , The Nation (2 )",Sabon Birni
"Army vs Terrorists, Kaduna",Troops of the Nigerian Army repelled a terrorist attack on a village and killed one of the bandits while another escaped with gunshot wounds. The attackers attempted to infiltrate the location housing the troops but were engaged in a fierce gun duel that lasted for an hour.,2022-11-12T23:00:00.000Z,Kankomi,2,crime,"Daily Trust (2 ) , Other newspaper 3 (2 ) , The Nation (2 ) , The Guardian (3 )",Chikun
"NAF vs Bandits, Kaduna",3 terrorists were killed and some kidnapped victims were rescued by the Nigerian Air Force (NAF). It was reported that the incident happened during aerial patrols by the NAF in the hideouts of the terrorists.,2022-11-12T23:00:00.000Z,Karawa Area,3,crime,"The Guardian (3 ) , Other newspaper 3 (3 ) , Other newpapers 1 (3 )",Igabi
"Bandits vs Villagers, Kaduna",3 villagers were killed by some bandits who invaded a community. It was reported that the incident happened when the bandits were fleeing from soldiers who repelled their attack.,2022-11-12T23:00:00.000Z,Chikun Area,3,political issue,Nigerian Tribune (3 ),Chikun
"Army vs Bandits, Kaduna","Troops of the Nigerian Army killed a bandit leader identified as Kachalla Gudau, his aide, Rigimamme, and several other bandits. The bandits have been terrorizing several communities before they met their waterloo.",2022-11-12T23:00:00.000Z,Kankomi,12,crime,"The Nation (12 ) , Other newpapers 1 (12 ) , Daily Trust (12 )",Chikun
"Gunmen vs Police, Imo",IPOB/ESN: A police inspector and a constable were shot dead during a night attack at the Divisional Police Headquarters by gunmen suspected to be members of the Indigenous People of Biafra. The gunmen also freed all the detained suspects in the police division.,2022-11-12T23:00:00.000Z,Akokwa community,2,"political issue, crime",Other newpapers 1 (2 ),Ideato North
"Army vs Bandits, Kaduna","Troops of the Nigerian Army killed one bandit during a clearance operation. It was reported that two terrorists fled on sighting troops, leaving behind their motorcycles.",2022-11-11T23:00:00.000Z,Gwagwada-Chikun-Sarkin Powa area,1,crime,"Other newspaper 3 (1 ) , The Guardian (1 ) , Nigerian Tribune (1 )",Chikun
"Gunmen vs Soldiers, Anambra",IPOB/ESN: 4 people were killed when some gunmen engaged soldiers at a checkpoint in a gun duel. The incident which happened in the early hours of the day caused pandemonium.,2022-11-11T23:00:00.000Z,Isuofia,6,"crime, political issue","Daily Trust (4 ) , Nigerian Tribune (6 ) , Other newpapers 1 (6 ) , The Nation (7 )",Aguata
"Bandits vs Farmers, Niger","1 person was shot dead by bandits over a delay in paying his ransom. It was reported that the bandits kidnapped 3 farmers, Salihu, Aliyu, and Ishaku a few months ago and decided to release them by collecting ransom from their family members.",2022-11-09T23:00:00.000Z,"Kpada-Duma Community,",1,crime,Daily Trust (1 ),Lapai
"Army vs Bandits, Zamfara",Several terrorists were killed by the Military personnel called Buzu. It was reported that several bicycles and animals were also recovered after the operation.,2022-11-09T23:00:00.000Z,Gadar Zaima Community,24,crime,Daily Trust (24 ),Bukkuyum
"Farmers vs Herders, Jigawa",2 persons were killed and others injured during a clash between some farmers and herders. It was reported that the crisis started when some group of youths suspected to be farmers attacked the Fulani herders in an attempt to chase them away from the area. It was also reported that 2 horses and 19 donkeys were burnt by the youths during the clash.,2022-11-08T23:00:00.000Z,Cukuma and Gunka villages of Suletankarkar,2,"cattle grazing, land issue",Nigerian Tribune (2 ),Jahun
"Bandits Attack, Niger",2 persons were killed and 20 others were injured by some gunmen who attacked a community. It was reported that the incident happened in the afternoon when the bandits on motorcycles stormed the community fully armed and started shooting sporadically into the air.,2022-11-08T23:00:00.000Z,Kaffinkoro town,2,crime,"Vanguard (2 ) , This Day (2 ) , Other newpapers 1 (1 )",Paikoro
"Communal Attack, Benue","28 were killed in a crisis between the Effunn and Ezza people. The crisis started in Ebonyi State and escalated to communities in Benue State. It was believed that someone from one of the communities desecrated one of their shrines, and instead of settling their crisis in Ebonyi, they moved the crisis to Benue.",2022-11-06T23:00:00.000Z,Ezza community,28,crime,"The Punch (28 ) , Other newspaper 2 (28 ) , Nigerian Tribune (28 )",Ado
"Banditry, Niger","Scores of bandits were neutralized in a community during a gun battle with the Joint Security Task Force in the state. It was reported that 2 members of the vigilante corps were killed by the bandits during an earlier ambush. Three days after the incident, the bandits trailed teh4 son of a village head whom they bvelieved betrayed them to his resident and took him to their camp where they shot him dead.",2022-11-06T23:00:00.000Z,Chibani,43,crime,Other newpapers 1 (43 ),Shiroro
"Bandits Kill 5, Niger",5 farmers were killed while dozens sustained severe gunshot wounds when bandits attacked some communities. It was reported that the incident happened in the early hours of the day.,2022-11-06T23:00:00.000Z,Chibane village Moya,5,crime,"Daily Trust (5 ) , This Day (5 )",Moya
"Banditry, Kaduna","Kefas Obadiah, a kidnap victim was killed after his family paid 3 million Naira for his ransom. It was reported that the bandits started asking the family for 10 million Naira before they will release the corpse of the victim to his family.",2022-11-06T23:00:00.000Z,Sabon Gaya,1,crime,"Nigerian Tribune (1 ) , The Guardian (1 ) , The Nation (1 ) , Vanguard (1 ) , The Punch (1 )",Chikun
"Gunmen vs Police, Imo",IPOB/ESN: An unidentified military man was shot dead by some gunmen who invaded a community.,2022-11-06T23:00:00.000Z,Izombe,1,political issue,Other newspaper 2 (1 ),Oguta
"Army vs Bandits, Zamfara",Troops attached to Operation Hadarin Daji neutralized some terrorists in a village. It was reported that the terrorists were trying to harvest farm produce at the village when the incident happened.,2022-11-05T23:00:00.000Z,Yar Tashar village,10,crime,"Daily Trust (10 ) , Vanguard (10 ) , Other newspaper 3 (10 )",Maru
"Bandits vs Cook, Katsina","1 person identified as Alhaji Lawal Kambarawa was killed by some bandits after kidnapping him on his farm. It was reported that the deceased, chief cook to the Katsina governor, Aminu Bello Masari was kidnapped a few days ago while he went to inspect some of his farm produce. It was also reported that he was killed after his family members paid a ransom of N5 million to the kidnappers.",2022-11-05T23:00:00.000Z,Katsina-Jibia International Road to the Niger Republic,1,crime,"Nigerian Tribune (1 ) , Other newspaper 3 (1 )",Jibia
"Army vs IPOB/ESN, Abia",Troops of the Nigerian Army raided the enclave of members of the Indigenous People of Biafra and killed 2 people. It was reported that some of the members fled with gunshot injuries.,2022-11-04T23:00:00.000Z,Amangwu,2,"political issue, crime",Vanguard (2 ),Ohafia
"Army vs IPOB/ESN, Abia",Troops of the Nigerian Army killed three members of the Indigenous People of Biafra during an encounter. It was reported that one soldier was killed during the gun duel.,2022-11-03T23:00:00.000Z,Ohafia,4,"political issue, crime","The Nation (4 ) , This Day (4 ) , Vanguard (4 )",Ohafia
"Army vs Boko Haram, Borno","3 Boko Haram fighters were killed by the Troops of Operation Hadin Kai. The soldiers, in conjunction with the Civilian Joint Task Force (CJTF), intercepted some terrorists and engaged them in a gunfire exchange.",2022-11-03T23:00:00.000Z,Gubio Area,3,"political issue, religious issue",Daily Trust (3 ),Gubio
"Bandits Attack, Kebbi","Over 70 bandits invaded a village at night and killed Abubakar Magaji, the head of the community, and one other person. They also killed 2 other persons on the way as they fled the community.",2022-11-01T23:00:00.000Z,Tunga Rafin Community,4,crime,"The Guardian (4 ) , Other newspaper 3 (4 ) , Nigerian Tribune (4 )",Augie
"Bandits Attack, Kaduna","Anthony Mutala Tekung was killed while 2 people escaped and 2 other females, Jessica Francis and Margret Francis were kidnapped. Anthony was killed by the kidnappers during a joint rescue mission.",2022-11-01T23:00:00.000Z,"Bara, Paki Village",1,crime,Daily Trust (1 ),Jemaa
"Gunmen Attack, Anambra","IPOB/ESN: 3 gunmen were killed during a gun battle with a combined team of soldiers and policemen. The victims had different charms on their bodies, including legs, necks, waists and hands.",2022-11-01T23:00:00.000Z,Umunze,3,"crime, political issue","The Nation (3 ) , Other newspaper 3 (3 )",Orumba South
"Boko Haram Attack, Borno","Scores of Boko Haram terrorists were killed in an airstrike carried out by the Nigerian Air Force (NAF), with support from ground troops. The terrorists were hit while moving in a convoy of gun trucks and motorcycles.",2022-10-27T23:00:00.000Z,Darajamal-Mayenti axis of Bama area,40,"religious issue, political issue",The Guardian (40 ),Bama
"Police vs Gunmen, Imo","IPOB/ESN: The Operation Stop-and-Search team of the police engaged gunmen suspected to be members of the Indigenous People of Biafra (IPOB) in a gun duel and killed one of them. They also recovered a Sienna vehicle, one AK-47 rifle with 15 rounds of ammunition, 2 English-made pump action guns and 10 rounds of live cartridges and assorted charms.",2022-10-26T23:00:00.000Z,Orlu,1,"political issue, crime",Other newpapers 1 (1 ),Orlu
"NAF vs Terrorists, Katsina","Scores of Boko Haram and The Islamic State's West Africa Province (ISWAP), fighters were killed by the Operation of the air component. It was reported that the incident happened when the air component of Hadarin Daji carried out an attack on the terrorist's location.",2022-10-23T23:00:00.000Z,Dumburum forest of Kwari Village,48,political issue,"The Nation (40 ) , Nigerian Tribune (60 ) , Other newpapers 1 (44 )",Dan Musa
"Army vs ISWAP, Borno",Multiple airstrikes by Nigerian Air Force (NAF) fighter jets killed dozens of the Islamic State of West African Province terrorists. The terrorists were eliminated after two Super Tucano fighter jets bombed their convoy.,2022-10-22T23:00:00.000Z,Shettima-Abbor-Galmasku axis,24,"religious issue, political issue",The Guardian (24 ),Maiduguri
"ISWAP vs Boko Haram, Borno",6 Boko Haram terrorists were killed in their hideout by the Islamic State of West African Province (ISWAP) fighters. The attackers also recovered some weapons from the victims.,2022-10-21T23:00:00.000Z,Gajibo Town,6,"religious issue, political issue","Daily Trust (6 ) , The Guardian (6 )",Dikwa
"Army vs Boko Haram, Borno","1 person identified as Lawan Yashin, a terrorist was killed by some Troops in conjunction with Civilian Joint Task Force while trying to escape.",2022-10-21T23:00:00.000Z,IDPs Camp in Maiduguri,1,"political issue, religious issue","The Nation (1 ) , Nigerian Tribune (1 ) , Other newpapers 1 (1 )",Maiduguri
"Bandits vs Passengers, Katsina",2 passengers lost their lives while three others were kidnapped after a team of bandits armed with sophisticated weapons attacked a community. The terrrorists have been terrorising residents.,2022-10-21T23:00:00.000Z,Magamar Jibia border axis,2,crime,"Vanguard (2 ) , The Punch (2 )",Jibia
"Army vs Bandits, Zamfara","About 30 bandits, including 3 high-profile commanders, Hailu Buzu, responsible for the supply of arms to all other terrorists in Zamfara and Katsina state, Yellow Kano, Alhaji Gana were killed in airstrikes by the Nigerian Air Force’s fighter jets during a raid on terrorists’ hideouts. Since no location was reported, it is believed that the incident happened in the capital city.",2022-10-20T23:00:00.000Z,Anka (Bayan Daji) and Bayan Ruwa axis,35,crime,"The Punch (30 ) , Vanguard (40 )",Maradun
"NAF vs Boko Haram, Borno",Scores of Boko Haram terrorists were killed and others were injured by the Troops of the air component in their hideout. It was reported that the incident happened at the terrorist's hideout.,2022-10-20T23:00:00.000Z,Abulum and Njibul near Sambisa Forest,48,"political issue, religious issue","The Nation (40 ) , Nigerian Tribune (60 ) , Other newpapers 1 (44 )",Gwoza
"Army vs Bandits, Zamfara",3 terrorists including their leader identified as Ibrahim Chire were killed when the troops attached to Operation Hadarin Daji engaged the terrorists in a gun duel.,2022-10-19T23:00:00.000Z,"Doka Village, Gando Forest",4,crime,"Daily Trust (3 ) , Independent (3 ) , Other newpapers 1 (5 )",Anka
"NAF vs Boko Haram, Borno",Several Boko Haram terrorists were killed by the Troops of the air component. It was reported that seven gun trucks and other materials were recovered after the operation.,2022-10-20T23:00:00.000Z,"Tunbum Aliyu, near Lake Chad in Southwest",45,"political issue, religious issue","The Nation (30 ) , Nigerian Tribune (60 ) , Other newpapers 1 (44 )",Maiduguri
"Army vs Bandits, Kaduna",Troops of the Nigerian Army engaged some bandits in a shootout and killed about 30 of them. It was reported that the troops engaged the bandits in a fierce battle. They also rescued some kidnap victims.,2022-10-18T23:00:00.000Z,Abasiya-Amale area of Polewire,30,,"Vanguard (30 ) , The Nation (30 ) , Other newspaper 3 (30 ) , The Guardian (30 )",Kachia
"Herdsmen Attack, Benue","2 policemen and 21 others were killed in an attack by suspected Fulani herdsmen. Scores of residents flee the affected communities in a bid to avoid further attacks. The incident was a reprisal for cattle rustling. the victims include Mtem Torpav, Eje Abraham (Police), Zege, Afam Abama, Akor Jem, John Nor, Torlumun Orabende, Orpandega Terseer, Bem Nyichia, Atseva Ortwer, Mrs. Torsar, Nyave Tyoulugh, Kpaver Tion, Ugba Joseph, Mbakumbur Peter, Moses Pav, Apeseza Baba and Unduun.",2022-10-17T23:00:00.000Z,Gbeji,30,"land issue, cattle grazing, crime","The Punch (36 ) , Nigerian Tribune (23 ) , Other newspaper 3 (23 ) , Vanguard (36 )",Ukum
"Banditry, Plateau",Gunmen attacked and killed the village head of Nyalum community identified as Salisu Idris. It was reported that the gunmen also abducted several people during the operation and carted away motorcycles.,2022-10-16T23:00:00.000Z,Nyalum Community,1,crime,"Other newspaper 3 (1 ) , The Punch (1 ) , The Guardian (1 ) , This Day (1 )",Wase
"Army vs Boko Haram, Borno",49 Boko Haram and the Islamic State West Africa Province (ISWAP) fighters were killed by the Troops of Operation Hadin Kai (OPHK). It was reported that 2 Chbok girls with their babies were rescued during the joint patrols.,2022-10-16T23:00:00.000Z,Bama-Mandana-Damasak Villages,49,"political issue, religious issue","Vanguard (49 ) , The Guardian (49 )",Bama
"Troops vs Boko Haram, Borno","6 persons suspected to be fighters of Islamic State West Africa Province (ISWAP) were killed by the troops of 152 Battalion, Banki Operation Hadin Kai in an ambush.",2022-10-15T23:00:00.000Z,Kumshe-Banki axis,6,"political issue, religious issue","Daily Trust (6 ) , The Guardian (6 )",Bama
"Bandits Kill 1, Niger",Bandits shot dead one farmer and released 15 others abducted on their farms. The victim identified as Salihu Usman was shot dead when he attempted to escape after untying himself.,2022-10-12T23:00:00.000Z,Kache community,1,crime,Daily Trust (1 ),Lapai
"Police vs Bandits, Kaduna",2 terrorists were killed and 1 other rescued by the police operatives in a gun battle with the terrorists. It was reported that some weapons were recovered by the police after the operation.,2022-10-11T23:00:00.000Z,Idasso area of Kidandan in Galadimawa District,2,crime,Other newspaper 3 (2 ),Giwa
"Gunmen Attack, Anambra","IPOB/ESN: Gunmen killed the commander of the Anambra Vigilante Group popularly called Shaba, and 2 of his orderlies. He was at a bar in the company of his orderlies when they were killed.",2022-10-11T23:00:00.000Z,Nkwo Market at Igboukwu community,3,"crime, political issue","Nigerian Tribune (3 ) , The Guardian (3 ) , The Punch (3 )",Aguata
"Herders vs Farmers, Benue",Fulani herdsmen killed 5 farmers when they invaded a community in the night and shot at people. They attacked the farmers with guns and machetes.,2022-10-11T23:00:00.000Z,Yelwata,5,"cattle grazing, land issue","The Punch (5 ) , Daily Trust (5 )",Guma
"Police vs Bandits, Katsina",2 villagers were killed when terrorists invaded a village. It was reported that the hoodlum attacked the village in the early hours of the day and killed the victims before the police stormed the place.,2022-10-11T23:00:00.000Z,"Gidan, Baushe, Gatakawa village",2,,"The Punch (2 ) , The Guardian (2 )",Kankara
"Army vs Bandits, Katsina",10 bandits were neutralized by troops of the Nigerian Army. It was reported that 7 of the bandits were arrested in the operations while 32 civilians were rescued.,2022-10-10T23:00:00.000Z,Maudi Maudi at Tsora Hill,10,crime,Other newpapers 1 (10 ),Safana
"Army vs Boko Haram, Borno","At least 2 dozens (24) Boko Haram terrorist fighters were killed by the troops of the 21-Armoured Brigade, Operation Hadin Kai (OPHK) in an ambush.",2022-10-10T23:00:00.000Z,Kumshe-Banki Road,24,"political issue, religious issue",The Guardian (24 ),Bama
"Army vs Boko Haram, Borno","Troops of Operation Hadin Kai (OPHK), in collaboration with the Civilian Joint Task Force (JTF), neutralised 19 Islamic State of West Africa Province (ISWAP) terrorists.",2022-10-10T23:00:00.000Z,"Dikwa-Gamboru axis, Ngala Council",19,"political issue, religious issue","The Guardian (19 ) , Vanguard (19 )",Ngala
"Vigilante vs Bandits, Taraba",A vigilante group killed 12 bandits terrorizing residents and communities. The activities of the bandits resulted in the death and abduction of many people in a Fulani community. The assailants went to the community wearing uniforms and posing as members of a local vigilante group but were rounded up by the vigilante.,2022-10-08T23:00:00.000Z,Zudai Village,12,crime,"The Guardian (12 ) , Vanguard (12 ) , Nigerian Tribune (12 )",Bali
"Gunmen Attack, Plateau",About 7 people were killed by bandits who invaded three communities. It was reported that a community leader was also killed during the attack. Several households were displaced.,2022-10-08T23:00:00.000Z,"Kulias Community, Batura by Government College",5,crime,"Other newpapers 1 (7 ) , Nigerian Tribune (3 ) , The Punch (4 )",Bakkos
"Police vs Bandits, Katsina","27 bandits were killed and 393 victims rescued by police operatives. It was reported that about 1,503 terrorists were arrested by the police during an operation.",2022-10-07T23:00:00.000Z,Dandagoro Town,27,crime,Vanguard (27 ),Batagarawa
"Herdsmen vs Farmers, Nasarawa",7 farmers were killed by suspected herders. It was reported that the incident was a reprisal for an attack on Fulani herdsmen in the community.,2022-10-07T23:00:00.000Z,Gidan Sule Community,10,"cattle grazing, land issue","The Nation (10 ) , The Guardian (10 ) , Other newspaper 3 (10 )",Keana
"Cult War, Cross River",6 members of a cult group were killed during a disagreement over a stolen motorcycle. Crisis started when a member of one of the groups stole a motorcycle belonging to a rival member.,2022-10-03T23:00:00.000Z,Obudu town,6,crime,Vanguard (6 ),Obudu
"Boko Haram Attack, Borno",Scores of motorists and travelers were feared dead as they stepped on IEDs allegedly planted by suspected members of Boko Haram. Several others reportedly sustained injuries. It is assumed at least 2 scores (40) died in the incident.,2022-10-02T23:00:00.000Z,Maiduguri-Damboa-Chibok road,40,"political issue, religious issue","Vanguard (40 ) , The Guardian (40 )",Maiduguri
"Boko Haram Attack, Borno",Terrorists raided a community and opened fire on fleeing residents. 3 people were killed by the attackers who also looted shops before setting residential houses ablaze.,2022-10-02T23:00:00.000Z,Njilang,3,"political issue, religious issue","Vanguard (3 ) , The Guardian (3 )",Chibok
"Terrorists vs Bandits, Kaduna",Ansaru terrorists killed scores of bandits in a village. They made a surprise return to the community which use to be their stronghold.,2022-09-28T23:00:00.000Z,Damari village,40,"political issue, religious issue",Other newspaper 3 (40 ),Birnin-Gwari
